1200  4500
1100  242 4.61365
 329   33 5.01103
  77  793 1.82358
 339  721 5.93464
 648  193 8.7627
1171   91 1.53602
 229 1047 0.412882
 562  960 4.84124
1134  287 9.15192
 659  322 5.92951
 339  881 5.62425
1160  269 4.62365
1167  718 9.0714
1111  986 2.62423
1112 1177 4.9547
 791 1060 6.86385
 494  198 1.13774
 663  113 1.32348
 716 1109 1.67062
 551  130 9.10846
 971 1178 7.98029
 667  529 7.93533
 670  618 6.46556
 506  911 9.05754
 773  463 8.13252
1009  610 0.767161
 489   27 8.17765
 484  424 8.75759
1166  971 4.45224
 834   72 8.92871
 464  908 3.52835
 627  344 3.47483
 588  851 6.35184
1098 1029 9.70936
 911  356 6.25552
 174 1100 1.09981
   8  418 6.83329
 858  712 9.51381
 408  746 2.35829
 150 1142 1.50119
 339   67 9.20984
1116  362 0.893689
1123  514 6.59629
 586  524 9.64461
1007  729 4.47205
 783  950 9.17352
 379  604 7.28242
  26  511 6.49633
 603  115 6.85854
 942  836 1.42466
 740  559 5.26631
 659  243 4.31402
 491  611 2.80887
1109  969 8.564
 871  311 5.39569
 470  819 2.41739
 211 1151 9.45831
 152  309 0.789475
 476  503 0.988455
1070   83 1.78124
1068  522 1.14882
 643 1115 9.24151
 431   91 1.69323
 931  868 1.56091
 812 1040 7.23742
 678  687 2.83038
  68  175 8.76734
1123  488 5.15139
 716  209 3.90675
 195  694 1.76507
 609  656 4.80836
 372   14 9.0728
 726  297 5.70824
 525  673 3.33573
 798  612 9.27286
 674  352 1.12775
 397   93 4.48863
 681  798 4.69907
 590  464 4.21936
 154  144 6.531
 604  508 4.72838
 283  985 3.07246
 859  720 0.821885
 727 1026 4.78497
 134   72 2.95728
  13  284 6.49728
 667  877 5.44031
 529 1034 8.25669
 385  576 6.34749
  67   96 9.69798
 546   70 1.37333
 282 1119 6.08861
 510  613 3.88118
1083  954 8.81512
 535  469 3.85174
1167  253 2.37671
 489  397 0.94153
 136  202 7.63513
 978  996 3.2016
1016  113 2.63225
 205  328 1.81522
1119   30 1.02514
 351 1024 0.705037
 438  271 2.35554
 833  364 1.32812
 180  810 6.11473
 538  241 4.99738
 698  750 6.23516
 638 1142 4.71384
 238  620 7.29865
  48   33 3.54313
 290  717 8.95012
 587  496 4.80788
 830  901 4.39066
 525  699 3.94445
1103  242 3.29534
 518  927 3.90556
 356  484 8.58782
1118   68 9.11188
 388   61 5.94762
 971  957 4.99794
 193  252 3.37949
 724  624 2.74993
 627   10 4.97406
  44  385 7.29774
 733  148 6.55661
 323  222 2.67324
 840  229 8.83946
1142  409 1.85822
 524  877 6.00638
1047   52 3.53058
 828  949 1.31725
 273 1118 3.87527
  23  546 6.52312
 398  948 9.20637
 639   96 8.41488
 162 1090 4.74343
 326 1163 5.37823
 659  139 8.15222
 486  945 5.05732
  40  723 7.37918
 823  944 4.488
 928  442 4.81705
 875  224 1.40977
 368  235 3.82186
  90  564 2.62246
1104  432 7.50753
 566  437 7.32033
 639  508 6.38681
 319  395 9.22072
 291  600 3.94289
1017   72 5.52716
 968  839 4.41117
 570  202 2.07677
 941  786 9.34139
 106  945 2.17561
 857  815 1.72156
1067  158 1.38241
1091  653 3.08043
 118  416 6.39401
 716 1005 6.85522
 906  219 7.6422
 182  906 1.31242
 687  218 7.85322
1164  932 7.94051
 580  973 6.54704
1132  247 5.34344
 198  523 1.61247
 733  916 9.41418
 944  875 1.81821
1162  216 4.32111
 298  485 3.95264
1179  704 6.00352
 112  548 3.91486
 281  704 4.29253
 905  636 4.35356
 763  613 7.84003
 147  685 5.20848
 893  614 2.21278
 185  310 4.65308
 415   79 1.73953
1197  615 4.23498
1136  305 5.31103
 752  829 8.54639
1050 1005 5.61503
1014  793 1.66052
 223 1003 6.83802
 914  782 3.87873
 697 1092 9.37793
 296  150 9.76213
1132  519 7.70556
 306  641 3.29105
 865  937 0.795995
 799  971 3.77057
 532 1196 1.02626
  47  361 8.67904
1129 1107 9.42974
 853  608 1.9754
 132  384 6.44049
1193 1146 5.24149
 682   45 6.52742
 116  364 6.35013
 450   31 5.82848
1056  530 2.94532
 686 1077 3.45516
 988  184 6.00339
 210 1174 9.64175
 917  420 2.4072
1140  407 4.69962
 351  351 1.71687
 298   58 6.13697
 513  749 2.52267
 240  137 4.7202
 552  310 6.62155
 732  853 9.44354
1075 1122 7.16658
 827  440 4.24159
 440  870 5.81314
 766  525 7.57285
 650 1077 4.33427
 687 1186 1.61514
 233  155 8.55955
 959  125 7.16824
1050  528 1.32481
 977  814 2.7706
 308 1082 0.694072
 286 1121 5.08248
 240  680 0.653342
  40   59 3.01068
1116  328 5.55449
 583  640 4.37197
 528  902 5.84905
 445  860 7.98391
 918  469 3.21575
1189  783 6.68665
 971  224 5.48806
 611  560 1.4508
 748  745 6.49465
 957  601 1.77664
1183  490 7.27905
 778  392 9.42431
 379  688 7.27544
 346  782 2.82858
1001   36 4.43437
 678  652 6.6863
 291  399 1.24476
1060  172 3.13092
 751  631 9.68385
 140  507 2.58102
 915 1158 3.13587
  37  980 8.49586
  29 1006 5.96303
 631  170 5.2883
 549  912 3.83658
 365 1138 3.24851
1181  462 9.29403
 647  942 6.28547
1070  206 2.33164
 429  611 0.448196
 651  781 2.02389
 862  124 6.46518
1167  112 8.07192
1167  627 6.66818
1091  733 2.4171
 430  797 7.79885
 826  234 4.44866
 541  133 5.0202
 499 1075 9.61057
  53  733 5.99957
 150  674 9.25822
 390  483 3.63973
 970 1114 1.76328
  24  924 8.10281
1141 1137 8.65887
 520  536 5.78204
 882  129 2.51981
1131  176 4.35541
 850  793 1.95659
1038  825 8.4182
 515  540 2.54457
 173  423 5.35575
1048  197 0.451256
 762  799 9.3859
  53  667 3.11902
1135  403 6.30938
  60 1107 1.19085
 263  809 0.884876
 253  742 2.90312
  45  390 1.35743
 934  588 6.98226
 948  967 6.56909
 161  760 5.99413
 532  690 5.13377
 813  377 0.375567
1181  707 7.80829
 966  498 3.30571
 623  331 8.99301
 989 1053 8.1343
 237  201 2.32786
1038   95 4.9808
  30  125 4.55846
 822  564 9.46683
1074  290 1.19124
  67 1161 1.60215
 963  980 3.61435
  35  567 7.31824
1122  637 4.14261
 841  806 0.723399
 394  455 7.48352
 277  357 3.50886
1064  505 2.52537
  51  499 4.40586
 448  398 6.4128
 442  595 2.62558
 663  178 5.12943
  64   90 8.20416
 814  843 0.995536
 804   39 4.11029
1090  116 8.78465
 420  158 4.20403
1179  509 9.39688
 421  277 1.12914
 910  279 6.07006
 903 1041 5.73565
 900   41 2.81483
 670  906 1.51808
 234  874 7.70103
 569  684 7.5244
1136   32 2.69461
 639  668 4.13011
 943  800 3.48775
1091  976 3.33233
 167  371 9.28578
 747  783 2.07823
 378  808 8.95825
 533  327 5.58986
1138  394 2.94822
 249  872 8.58306
 247 1132 1.70446
1028  161 3.89542
 694 1064 6.76046
  51  952 9.14925
 257  726 9.20117
1150  572 6.95473
 433  149 3.22738
 139  324 4.32122
 889  123 7.51237
 996  676 3.62358
1158  603 8.44912
 946  333 8.14886
1079  367 9.75107
 869  700 2.96372
 635 1160 5.45267
1033  690 3.35522
 893   11 2.37767
 334  492 2.63263
 238  666 7.57221
 156  987 7.00679
 539  633 4.28771
1135  939 7.41797
   5  793 3.82538
 729  602 3.27405
 758  368 9.5676
 774  635 1.84067
1073   16 9.70453
 551 1111 4.11423
 369  154 4.20572
   5   30 4.74287
 421  711 9.34019
 605  440 9.16154
  39 1066 9.27941
1073  780 6.15974
 747  463 7.31702
 187    8 1.84621
1128  731 5.62595
 492  697 2.70581
1039  510 5.89978
 621 1074 7.20423
 178 1076 3.18178
 112  890 5.07463
 114  739 4.05878
1069  717 6.43175
 511 1034 0.460291
 886  928 4.63732
 227 1102 0.525303
 841  430 7.81772
 870 1121 5.93159
 806   31 8.93637
 147  592 1.92218
 614  361 6.18759
 576  836 1.15651
 470  370 4.53133
1176  617 3.76888
 719   87 2.26967
 433  126 9.58812
 537   61 7.94297
1070  433 8.5754
 171 1051 9.08156
  59  572 8.98228
1087  737 4.40953
 577 1074 1.43353
 316  874 1.69511
 365  581 8.5183
 775  551 5.67098
 267  873 0.381732
 307  695 4.86181
 199  184 6.75555
1038   14 1.18853
 693 1153 1.43754
 780  291 6.99735
1060 1136 4.29112
 997  932 4.49293
 554  346 7.66302
 750  522 3.52586
 949  559 0.466481
 491  752 5.01074
 355  134 2.25865
 244  937 7.86318
  57  247 7.87036
 869  926 2.66756
 394  389 5.07162
 431   14 1.82789
 425   82 9.67707
 103   38 3.37031
 355  110 5.90636
 724  500 3.38763
 424  104 5.81155
 541  509 5.87868
 846  623 3.19342
 942  969 0.555087
 933  728 9.72644
 391 1107 1.31092
1069   27 4.88803
1135  967 0.982947
1127  302 8.8149
 981 1152 0.702009
 492  795 7.39731
 824  658 5.21296
 745  749 5.87238
 358  544 3.57604
 700  444 8.7214
 398   35 1.02891
 454  604 8.58312
1118  198 2.51883
 481 1055 3.88938
 678  515 2.02328
 248  108 1.39021
 766  419 7.76841
 458  880 5.69262
  51  112 9.21351
 968  613 1.41487
  82  700 6.92834
 250 1038 3.33398
 123  549 8.44341
1170  977 5.2307
 783  360 6.14003
 284  572 8.51012
 822  689 6.79152
 502  555 3.957
 313  101 5.22376
1106  450 9.77037
 847  950 8.6478
  69 1152 0.526919
 719  914 7.73017
 458  987 2.94587
 938  615 0.329469
  78  670 3.88222
  59 1030 1.80355
1046  125 9.39106
 776   35 5.61065
 580  203 8.92893
 960  447 9.69066
 955  864 0.735061
 433 1159 1.07417
 556  228 7.55504
 676  425 6.81546
 193  873 8.10167
1034  212 2.42239
 692  184 2.74091
1167  959 2.52744
 817 1068 7.82764
 643  852 2.15314
 444  237 5.41212
  18  376 8.41166
 326  935 6.41268
 798  772 0.823634
 419  493 4.87784
 300  443 6.41403
 203  641 4.48135
 543  816 8.28461
 963  299 4.50542
 759  322 3.27047
1194 1113 7.13812
 715   57 5.10074
 279  318 3.8771
 915  246 7.02917
 793  412 4.7363
1107  339 0.457007
 880  901 4.74658
 238  771 7.98491
 465  137 9.71154
 238  313 5.25713
 661  392 2.39569
 259  965 7.21972
 383  316 5.77468
1100  738 6.3633
 306  550 8.42262
 410  802 0.524821
 617  772 2.51361
 536  567 4.07093
 634  605 5.71688
1144  133 7.33016
 897  943 8.40596
1095  499 1.23672
 796  685 4.18559
1188   57 2.91266
 141  303 1.35321
 937   17 1.23507
1076 1007 4.41909
 900  538 1.77312
 691 1042 6.59091
 501  262 7.65788
 419  703 2.6375
 334  834 7.94113
 208  347 7.61875
 988 1054 2.87144
1027  556 8.24421
  27 1068 6.50374
 366  267 6.93044
 915  184 4.58484
 766 1068 4.70793
  47  979 2.48957
 135   94 8.14582
1088  789 5.52526
  53  742 4.4857
 137  168 4.61777
1137  165 4.6227
 256  222 7.17345
 464  740 1.92705
 548 1171 9.11573
1091  273 1.18341
 791  155 8.02911
  92  287 7.79192
 508  757 2.10267
1029 1132 4.25146
 426  775 6.96589
 340  528 3.62093
 683 1045 3.86668
 689  390 7.83334
 925  236 3.51455
1164 1018 0.687229
 947  319 8.37527
 695  896 1.77297
1045  631 5.61983
 988 1187 8.25531
 567  188 8.30535
 174  674 5.11339
1177  696 5.33035
 958  705 4.48952
 682  780 6.13263
1152   94 2.20384
1001  522 1.03229
 390  247 3.39973
 584  690 5.05755
 727  172 3.28637
 121 1073 2.71843
  45  718 1.63155
 293 1045 6.34903
 445 1092 6.17156
1161  138 5.98755
 471  871 4.96192
 257  952 3.41522
 579 1148 8.03366
 717   53 4.9065
1138  527 7.91609
 497  196 4.28988
 172  351 9.46519
 761  801 9.69513
1174 1111 6.27856
   3  565 9.56275
1157  483 5.88121
 415  220 2.47119
 378  390 0.589924
 523  340 5.70354
 260  996 9.50449
 147  778 9.55717
 359  527 0.425534
 886 1124 7.43005
  56   40 5.17753
 192 1050 6.00101
 979  400 1.56024
 342  320 4.47267
 390  107 4.12151
 355 1128 3.22285
 258   77 6.04062
 831  575 6.6634
 513  600 1.51205
 764  660 3.15504
 172  886 8.95483
 168   89 8.74355
 133  310 8.97789
 110  999 6.77406
 348  833 6.99434
 134  483 7.52537
 416 1196 4.25704
 472  912 6.55155
  90  456 3.34225
  62  423 4.13211
 870  573 7.22579
 398 1028 2.37599
 256  221 2.17819
 789  648 9.73163
 485  234 8.81296
 303  910 1.94504
 101  732 9.54862
 863  920 6.04666
 343  804 1.27761
 970  594 3.67826
 799  441 4.961
 805  134 6.0384
 109  107 1.66735
 893  741 5.717
 889  848 6.59054
  19  276 8.07048
 291   86 7.07389
 990  952 7.12289
 891  441 3.31698
 169  441 5.80795
 573   76 7.02015
 873  138 0.638989
 940 1181 4.65249
 319  147 2.38745
 959   33 0.335891
 974  386 0.910582
 847   65 5.45455
1095  311 3.67873
 944  871 5.42137
 764  779 6.0138
1074  833 4.60197
 710  224 2.65992
1002  643 2.91889
 695 1148 0.92957
 391  569 4.0603
 526  594 4.12025
  93  729 5.66146
 767  547 5.32055
 800  763 8.40741
 146 1059 3.89404
 688  582 7.13069
 790  946 6.63665
 218   76 6.81399
 661  131 6.37509
 810 1063 9.78723
1004  163 0.753083
1124 1163 5.44005
1195  851 3.98547
 851  998 4.78118
 184  652 8.93176
 218  894 0.732632
1140  128 6.54291
 766   98 7.50274
 234  823 9.28489
 877  361 5.58823
 903  239 4.79861
 718  303 8.20206
 210  676 8.95222
 513  997 4.55899
  76  849 8.11505
 815 1055 6.4453
 168  824 6.04356
 547  563 9.79452
 721  239 9.55479
1115 1172 3.69369
 544  192 4.36537
  43 1113 3.30128
 345  205 5.43489
  50  182 7.06217
 480  935 1.77624
1146  791 1.69789
  39  842 8.7482
 123 1197 5.27386
 325 1170 8.14882
  40  598 6.89924
 967  166 6.93815
 881  252 8.59782
1070  856 8.80836
 334 1157 3.43676
1142  298 2.7823
1170  405 7.71711
 421  457 5.95628
 226  935 6.14841
 203  142 4.05071
 704 1152 9.75066
 946  677 9.43194
 972  474 7.15102
 904   14 8.61638
 706 1016 4.83814
 158  772 2.424
 122  327 6.37411
 985  443 5.69883
 675  190 6.09818
 310  730 7.1434
 299  840 8.56658
1106 1104 7.43518
 567 1030 9.01072
 645 1154 1.6495
1130  430 9.74497
 508  625 8.77759
 719  855 1.92718
 746  478 6.15856
1100  486 2.16554
1025  953 0.568391
 684  683 2.30106
 873  336 8.04524
1120 1034 7.87604
 557  302 5.11852
1156 1140 4.24865
 629 1112 1.76256
 701  215 7.03728
 832  292 5.19369
 621  636 4.48581
1040  185 0.649869
  15  378 6.97948
1087 1102 9.60131
 765  416 2.19591
 590  842 8.72513
 476  338 9.35477
 972  364 2.03531
 810 1057 1.92009
 575  934 3.10605
 326  967 3.75724
 999  291 2.34277
1118 1118 5.00968
 410  799 1.6473
 796 1110 4.56722
 181  981 6.39709
 999  878 7.40989
1040  495 6.33023
 529  784 3.01067
 614  610 7.85314
 606  680 9.10537
 534  407 8.04346
 755  637 1.31138
 324  143 3.95456
 949  961 2.30923
 372  378 2.75307
 617  820 5.02433
1087 1149 2.75998
 854  977 2.10181
 492  792 1.36401
   8  683 2.44357
1166   82 7.37256
  83  319 4.94804
 155  203 9.75638
 930  518 5.63306
1029  539 4.27198
1007  850 9.09592
 274 1016 0.347914
 233  857 7.49422
 230  754 2.84092
 801 1022 1.2686
 863  875 3.07274
1018  882 9.12774
 614  842 1.66236
 380  103 7.36176
 304  224 7.23092
 348   74 0.99798
 597  296 8.80368
 511  390 1.67149
 277  257 1.74691
 112  633 7.33575
 720  750 1.96436
 826  986 5.67095
 777  748 6.72532
 341  867 3.68509
 970  170 4.85829
1125  680 4.96317
 508  599 7.39473
 831  139 1.1205
 827  461 1.97998
 626  867 4.28588
 245    6 6.48251
1086  820 5.60594
 127  405 8.26856
 339   54 7.33078
 182  955 7.34928
 912  976 1.94917
 458  294 8.41133
 975  906 2.67768
 126  101 2.421
 874  872 8.21801
 422  796 2.52854
 143  625 0.476934
 813  696 4.56457
1046  838 5.27463
 774 1019 2.06139
 600 1164 7.58364
1026 1067 5.70238
 448  903 9.1035
1144  344 5.24734
 941  835 4.64224
 357  646 7.1564
 251 1168 3.04958
 419  746 5.24184
  43  304 3.7568
1103  573 0.613853
 733   66 0.799109
 348 1007 9.62666
1190  878 2.43999
1042  845 2.35959
 527  708 0.818108
 927  359 4.00078
 426  978 5.60498
 423   52 8.69705
 686  700 1.89566
 961  176 5.71595
 773  724 3.85056
 707  468 5.42341
 888  671 4.76464
1020 1114 5.12044
 622  295 1.73908
 992  957 2.28681
  73  127 2.28443
 203  439 4.00024
 875  103 4.59342
1174  875 1.8153
  45  444 4.87247
 707 1104 4.47778
 342  353 8.49252
1098 1042 1.18255
1056 1074 8.7197
 138 1146 1.28864
 172 1095 1.95772
 191  161 6.18931
 690  162 5.31884
 197  669 0.476315
 388  671 6.42479
 497  915 7.53221
 541  204 9.61284
 597  811 0.71752
 261  381 8.18235
 362  342 4.72266
 447  987 5.34173
 426  706 8.09689
 447  786 6.6871
 858  191 5.72379
 744  292 4.21575
1159  227 6.30628
  50  489 1.43077
 363  575 2.96777
 977   44 6.41929
 915  118 2.39828
 627  389 6.40542
 683 1056 1.26688
 341 1185 1.00341
 563  437 4.07036
 405   30 8.25196
 921  437 7.21884
 312  776 1.03806
 265  296 1.51123
 311  794 8.80105
1093  156 3.87887
 437  252 0.498733
 166  816 7.35662
  70  300 2.9272
 244  872 1.73856
 493  757 5.72681
 235  723 7.65328
 850 1198 2.67293
 445  164 5.10637
 366  711 3.52783
  66   76 1.79545
1073  525 4.03678
 922  505 1.79743
1176  439 0.594247
 178  794 7.72306
 875  733 0.520095
 949  955 9.11046
 510  901 2.25766
 134  119 0.976728
 494  231 8.57031
  19  959 6.20694
 351  789 2.44009
 791  553 3.30975
 512  349 6.20478
  28  108 1.03822
 551  226 2.98681
1011  882 6.78437
 827 1192 0.703657
 665  408 7.02768
 995  507 8.73664
 311  202 6.53727
 954  424 0.419062
 298  333 3.18951
 868  939 9.78205
1177  810 1.27444
 970  808 8.75735
 645  907 8.64587
 554  569 2.79821
 414  883 1.93504
 917  507 1.11761
  91 1068 9.03689
 478 1070 8.74307
 162  805 4.28469
1102  126 1.23581
 764   72 1.81317
 732  535 8.42874
1158  388 7.51072
 477  817 0.729922
1159  202 7.43369
 447 1090 8.16609
 843  317 1.72385
1029  683 7.22713
 938  432 1.56078
1129  602 1.45681
 207  906 1.10387
  48  652 3.76714
1133  717 5.6317
 181  788 5.87342
 668  992 6.25577
 580  799 3.38261
1010 1033 5.73751
 266  417 6.80409
1117  880 6.90305
  65  333 2.39981
 476  736 7.13281
1031   21 5.58037
 160 1182 9.12563
1155  570 9.77495
 645  605 5.58685
1035  442 7.21748
 322  347 1.46234
 253  374 3.33733
1174   15 6.45099
 308 1128 6.98474
 284  983 5.73356
 480 1102 0.533155
 805  352 8.75814
 390  898 7.75175
  61 1164 9.44136
 480  309 2.4217
 143   14 3.96039
 519  536 1.54619
 361  277 6.01157
 274   60 7.30954
 299  583 2.72512
 741  683 7.88499
 221  101 7.26977
 230  190 1.50017
 846  913 5.1904
 472  696 5.91912
 559  134 0.411181
 255  641 5.43859
 349  325 2.11227
 294  823 6.26855
 161   33 5.05266
 826  445 8.61959
 722  156 8.68591
 474   74 0.354292
1189  381 8.35604
 533  300 9.29537
 630  769 0.953134
 753  980 9.05336
1114 1157 3.53536
 803  722 4.40948
 713  660 2.33219
 765  338 1.12555
 297  235 4.59058
 592  847 8.55978
 589 1008 1.73809
 238 1049 3.57572
 408  440 1.96512
 968  452 7.40391
 579  785 9.38947
 296  530 5.41261
 892 1143 2.26783
  58  388 7.37815
 662  666 3.55419
 756   50 8.13277
 194   66 7.4258
1054  135 7.0949
 352 1185 1.36147
1035  225 1.94907
 809 1096 6.34623
 492  254 5.04754
 499  696 6.25671
 896 1070 5.8498
 844  927 8.48734
 347  523 8.90017
 711  130 1.01745
 645  563 1.01914
 971  472 5.57563
1039 1022 7.04233
 375  312 2.3703
 431  153 8.83347
1105  715 0.636461
 699 1009 1.79247
1035 1053 8.63643
 770  682 1.63862
1009  823 7.57689
 909  479 1.61708
 735 1151 5.06406
 470  335 4.82572
 338  669 1.60475
 962  384 5.15861
 240  324 8.52695
1085  597 3.96859
 387  548 6.54384
 574   41 8.8771
1160  361 2.64517
 891  586 3.00492
 755  630 0.893349
 396  359 3.38835
 441   17 8.66237
  20   60 9.70962
1054  825 3.39343
 126  964 5.94732
  10 1160 6.9228
 722  760 4.46264
 825  412 5.86654
 987  354 0.928921
 766 1129 4.92571
1134 1050 1.78954
1192  133 8.89723
1012  738 2.6156
 861   74 7.47821
 792  813 6.25008
 754  797 8.60479
 883  368 3.88948
 475  663 5.79355
 304 1041 3.25145
 179  316 6.04425
 543  707 4.86238
 670 1078 2.70428
1166  829 5.65912
 319  131 2.46305
1195 1165 3.7798
1062  304 9.27993
 618  944 9.11954
 591  473 3.67681
 575  274 5.86004
1116  884 4.7649
 158 1161 0.889989
1194 1178 2.51971
 957  139 5.08214
1186  266 2.56564
1180  559 9.69677
 810  298 0.425245
 963  911 5.94891
 893  571 8.85409
 677 1004 3.34226
   6 1154 0.426371
 207 1192 8.80779
1028  449 1.6852
 772  406 2.40867
 234  643 3.82122
 723  559 6.2766
 814  818 3.42835
 892 1121 5.96282
 448  832 1.27939
 267 1159 1.30098
 573  282 5.62854
 907  633 7.30083
 269  899 6.10729
 148  805 8.72913
 913  198 7.66286
1019  217 9.48419
 859  547 5.92364
1064  279 3.77319
 397  865 1.67387
 821   73 7.02098
 364 1141 7.05021
 202  790 9.17892
 209  614 9.05409
 954  386 5.82881
1193  935 8.08313
 230  351 0.405596
 596   77 4.11334
 853    3 2.54464
  84 1143 1.2495
 597  960 9.39315
 321  234 2.49369
 691 1063 6.79032
  85  240 4.30897
1076   45 1.26676
 560  851 5.88957
 321  990 5.68351
 949  693 7.79041
1199  193 2.94672
 701  615 2.7357
1045   70 5.43023
 530   50 7.37257
 725  581 6.22142
 765  692 4.73248
 419  291 7.14124
 578  737 7.18594
 696 1004 6.3158
 113  498 8.71175
 916 1197 2.00733
 929  263 8.17951
 599  725 4.72397
 436 1089 8.05031
 185  538 7.08273
 869  172 2.16639
   4  248 7.01214
 100  648 0.685224
 626  806 6.54125
   4  216 8.68317
 818  676 1.10186
 447 1175 0.39348
1048  362 3.51415
 391 1020 6.02621
1023  180 6.17478
 646  809 7.31601
 116 1041 5.41377
 555  582 4.03685
1110  625 2.88374
 164  139 5.81581
 984  800 8.05644
 818  894 1.36657
 537 1077 5.55261
 142  686 0.388509
1074  382 7.31785
1117  689 1.42244
 451  496 0.82759
 118 1097 8.68809
 809  693 0.308249
 277  259 6.99891
 463  816 2.62121
  93  193 8.46274
 904  331 5.08073
 944  608 7.78824
 761 1054 5.87532
 744  524 4.30337
 459  162 9.26313
1073  406 6.86767
 934   73 3.16373
 570   11 7.8784
 531   27 8.79009
 222  593 6.56743
 212  767 5.04258
 533  417 4.70632
 843  121 2.42843
 314  651 7.22197
 758  624 6.33465
1023  387 8.92431
 628  238 1.03291
 834  711 2.04774
 147  312 3.27049
 588 1007 8.09625
 535  603 9.21013
1051 1159 7.6881
 171  491 5.633
 976  660 3.32851
1099  869 3.62196
 461  227 2.38705
 314  174 4.66468
 999  426 3.32979
 825  369 8.86584
 866 1046 3.85872
 541  122 6.32765
 878   25 2.40088
 880  640 3.93103
1160 1113 2.80527
  37  916 8.95455
 954   57 4.266
 726  668 5.00661
 123  305 5.83501
 424 1098 9.23567
 141    4 4.40239
  89 1146 1.25996
1186  467 3.41875
 155 1003 1.07943
1161  339 3.14609
1186  624 2.23005
 929  603 6.551
 140  878 7.39994
 770  216 7.90867
 997  729 8.50027
1158  311 7.80166
 254  934 9.65634
 479 1069 1.77116
  22   87 6.82038
 993  276 2.79177
 313  925 3.15566
 262  497 4.05874
 580  713 6.4967
 228 1125 8.31339
 129 1034 0.867881
  97 1093 6.61291
 574  612 6.55271
 672  627 3.49484
 170   81 3.26156
 222  625 2.09504
 470  848 6.22949
 723 1197 6.93104
 287  943 6.45824
 668  120 6.31907
   4  956 5.80288
  31  491 8.17778
 935   53 8.30315
 924  723 9.52667
 660  206 4.5603
 963   11 7.27029
 525  417 3.35211
 928  105 6.22765
 847  558 7.66405
 148  444 6.21422
 531  982 2.66315
 898 1005 0.512722
1105  122 7.45028
 981  707 1.72586
 283 1064 1.33777
 703  956 4.02104
 617  174 8.4458
 419  148 0.320624
 967  964 1.00968
1070  574 2.51639
1161  289 9.2984
1103  800 3.53275
 607  579 6.40906
 818  817 0.914597
 702  781 6.54713
 958  867 2.43374
 320  471 7.3492
 351   17 4.02793
 928  261 1.73569
   8   19 1.40103
 620  293 6.15077
 371 1134 4.82957
  48  910 1.4222
 143 1113 8.67754
1135  934 8.55489
 265  282 6.97287
 328   60 7.61486
 522   43 7.64295
 770 1181 1.07689
 180  740 4.36781
 922  954 7.78978
 326  380 7.44698
1029  508 1.56341
 726 1196 7.86441
 928   90 3.91973
 157  936 8.14157
 765   73 9.31351
 295  520 8.86151
 378 1014 8.10691
1091  530 0.52875
 737  583 6.25338
 759  758 4.60579
1126 1187 1.2604
 533  304 1.79712
1119  586 3.64945
 152    5 7.22387
 548  164 2.28338
 560   73 8.31259
 471   93 8.57338
 982  291 6.57042
 454 1068 0.308784
1023  746 4.72055
 589   74 2.98782
 718  272 5.9142
 781  315 0.406556
1069  623 8.00982
 200  916 0.625061
 446  904 3.18942
1176 1050 9.01893
 282  285 1.03333
 781  945 7.01428
1028  209 3.74779
 425  360 3.2663
 278 1185 1.401
 967  703 5.11613
 864 1149 7.19168
 473  386 2.20155
 483  525 6.265
 276 1166 0.412157
 588  291 0.75811
 216   65 3.82664
1170  713 4.50702
 704  894 3.04381
 281   48 4.45227
1079   80 4.55052
 861 1067 2.1403
  34  795 6.19382
 957  905 5.12193
1001  773 6.66022
 983 1151 1.52418
 202  187 3.60505
 782  395 8.42258
 350  441 6.14386
 484  193 2.09549
 500  308 5.48266
 814  506 3.12393
 898  712 6.47963
 328  542 0.798125
  56 1168 2.08284
 267  465 6.47358
 656  689 5.74704
 595  178 2.82187
 239  538 2.46424
 636  802 7.0888
 519  216 9.35958
 631  928 3.17516
 368   65 9.00352
1071  658 7.11439
 124  517 4.16408
 107  240 3.44139
1119  240 4.67421
 130  143 5.32544
 336  138 0.585205
 932  418 7.30616
1076  893 1.59476
 935  691 1.86077
 257  695 2.03756
1120  327 6.40748
 239 1167 3.16777
 477  908 2.24476
 881  418 2.07452
 227  305 0.403314
 895  334 5.5209
 310   76 3.84162
1105   83 3.95897
 240  155 1.1243
 851  539 7.37081
 713  368 7.2391
1080  501 4.61811
1178  570 2.10006
 312   43 1.728
 183  161 4.78052
 871  800 8.91865
 273 1197 3.65295
 293  615 6.99167
 692  380 1.03133
 747  685 1.54744
 894 1123 3.43363
 627  946 6.39619
 826 1156 2.26612
 970   49 1.92468
 164  677 5.11408
 705  683 2.63665
 430 1111 4.97957
 111  107 9.34722
 630  120 0.709809
 167  936 6.81242
 577  561 8.84407
 411   92 5.73675
 788  820 6.37519
 209   58 1.17056
 722  313 9.48274
1068  489 1.48786
 253  430 8.66482
 550  215 1.69138
 445  647 9.64885
 278 1118 5.03686
  72 1193 7.22153
 399  488 8.54592
 606  515 3.99646
 317  204 5.36702
1001  411 5.88091
1111 1158 7.48397
 730 1165 2.94101
 905  214 5.09175
 126  505 4.14639
 446  528 1.12856
 409  952 7.52474
  21   29 2.34587
1149  725 1.34807
 782  925 7.70162
 309  474 7.49567
 959 1003 3.04009
 647  273 8.84974
 932  489 7.56526
 710 1196 6.8217
 867  244 2.9152
 620 1000 0.829105
 767  118 2.54669
 629   84 7.27883
1015  448 8.52192
